
2024/08/12 (15:33:47) | ===> btop++ v.1.3.2
2024/08/12 (15:33:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/12 (15:33:49) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:33:51) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:33:53) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:33:55) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:33:57) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:33:59) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:34:01) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:34:03) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:34:05) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:34:07) | WARNING: NVML: Failed to get GPU utilization: Unknown Error

2024/08/12 (15:37:47) | ===> btop++ v.1.3.2
2024/08/12 (15:37:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/12 (15:39:55) | ===> btop++ v.1.3.2
2024/08/12 (15:39:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/12 (15:39:57) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:39:59) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:40:01) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:40:03) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:40:05) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:40:07) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:40:09) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:40:11) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:40:13) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:40:15) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:40:17) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:40:19) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:40:21) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:40:23) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/12 (15:40:25) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
